"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"5800","47-stim",0.339844132101966,4.89338334082757,4539.5,0.840648148148148,3.28757225144523e-12,3.94252970109426e-09,100,100
"1075","83-ctrl",-11.1058275582312,8.26175543230233,25156,0.671901709401709,3.61550150564064e-11,4.2415334511282e-09,100,100
"79047","83-ctrl",-15.2983765858073,6.56627842059975,24125,0.644364316239316,3.67001870956337e-11,4.25919483143199e-09,100,100
"10351","83-stim",-7.10501775731993,4.78834610514644,25741,0.687526709401709,4.59370181411735e-11,5.27444932763495e-09,100,100
"10248","83-ctrl",-10.9358265736381,8.28723489083618,25128,0.671153846153846,5.62248191889042e-11,6.3877313000615e-09,100,100
"6876","47-ctrl",-11.9859364893228,10.3632623688168,3940,0.72962962962963,5.95394290940315e-12,6.42609058211882e-09,100,100
"2058","83-ctrl",-1.0555715023001,3.99058444052191,25943.5,0.692935363247863,8.23959635392506e-11,9.26353785915762e-09,100,100
"7436","83-ctrl",-13.9482677457757,7.03448096482333,24410,0.651976495726496,9.46476730877511e-11,1.02208449469671e-08,100,100
"255403","83-ctrl",-15.6718807968907,6.33120650332116,23860,0.637286324786325,1.26661683327969e-10,1.3535243051077e-08,100,100
"348","83-ctrl",-10.6667676385859,7.8257168104007,25067,0.669524572649573,1.4396307288427e-10,1.51953790096897e-08,100,100
"1054","83-ctrl",-6.25876445524462,8.07888844593863,25606.5,0.683934294871795,1.45012882238306e-10,1.51953790096897e-08,100,100
"100129792","83-ctrl",-4.1738583706671,8.0605612646885,25734,0.687339743589744,1.47114163378161e-10,1.52210173604176e-08,100,100
"51660","83-ctrl",-13.0904442563391,7.4387673305951,24540.5,0.655462072649573,1.60860512125105e-10,1.63789387487383e-08,100,100
"1111","83-ctrl",-5.05639920249365,7.64180127767889,25654.5,0.685216346153846,1.89542237586402e-10,1.911896607729e-08,100,100
"5803","83-ctrl",-10.3820639816123,8.36972286816741,25019.5,0.668255876068376,2.11165720367562e-10,2.11028853696953e-08,100,100
"10527","83-ctrl",-1.06376296599206,7.11401251682828,25744,0.687606837606838,2.49154565222733e-10,2.46708736004491e-08,100,100
"22809","83-ctrl",-12.6318009351459,7.16748840571799,24605,0.657184829059829,2.64790994345514e-10,2.59808109270103e-08,100,100
"5270","83-ctrl",-5.74967101904826,9.30699904655876,25469,0.680261752136752,3.42336766369325e-10,3.26977054816294e-08,100,100
"5713","83-ctrl",-0.311058437827189,5.45853273602212,25672,0.685683760683761,4.07946797124747e-10,3.86225419418192e-08,100,100
"10398","83-ctrl",-8.9955335926776,8.00571394286912,25130,0.671207264957265,4.72555350274991e-10,4.39680163406722e-08,100,100
"84144","83-ctrl",-9.49293768176276,7.81498656048419,25074,0.669711538461538,4.69750998813735e-10,4.39680163406722e-08,100,100
"1363","83-ctrl",-14.4215329114236,6.82057444576343,24021,0.641586538461538,6.63467293700885e-10,6.10774274733327e-08,100,100
"80764","83-ctrl",-15.3152675128789,6.38994736911897,23784,0.63525641025641,6.6776025589301e-10,6.10774274733327e-08,100,100
"284217","83-ctrl",-6.72692294334811,7.7470898085032,25300.5,0.675761217948718,7.66201281267359e-10,6.94925246110807e-08,100,100
"55341","83-ctrl",-9.92131250676915,7.97197269702701,24921,0.665625,7.89108872492182e-10,7.0973767173401e-08,100,100
"8763","83-ctrl",-6.52950872827371,8.55835594402333,25278,0.675160256410256,8.50002572225005e-10,7.58188244795412e-08,100,100
"6427","83-ctrl",-1.17403235494772,4.91177921917789,25520.5,0.681637286324786,9.41282406391355e-10,8.25956179852186e-08,100,100
"11259","83-ctrl",-12.5380905836771,7.10855499415546,24441,0.652804487179487,9.79581285292075e-10,8.52630710657852e-08,100,100
"56849","83-ctrl",-9.57712341934882,8.59529691631519,24852,0.663782051282051,1.35148488076242e-09,1.14854931638337e-07,100,100
"51053","83-ctrl",-4.26619015545723,7.53515832929803,25331.5,0.676589209401709,1.58193555953745e-09,1.3338930073506e-07,100,100
"7298","83-ctrl",-3.3773062122554,7.64829897553529,25354,0.677190170940171,1.66968177748715e-09,1.39696708716425e-07,100,100
"285381","83-ctrl",-4.98032982587477,7.15017639253284,25285,0.675347222222222,1.78751342878822e-09,1.48404864899317e-07,100,100
"3304","83-ctrl",-11.6772607301403,7.6818178396768,24494,0.654220085470085,1.86954349645195e-09,1.5403040425348e-07,100,100
"10979","83-ctrl",-5.97174668395639,7.2049007841896,25214,0.673450854700855,1.93319846637103e-09,1.58068265511686e-07,100,100
"1006","83-ctrl",-15.2258414073194,6.04836223268067,23695,0.632879273504274,2.07481852048109e-09,1.68080535972497e-07,100,100
"6747","83-ctrl",-0.61438210838513,5.77751154694323,25373.5,0.677711004273504,2.16354400090192e-09,1.72971336309144e-07,100,100
"7168","83-ctrl",0.210364936494435,3.14505968190451,25363.5,0.67744391025641,2.37814948323565e-09,1.88730642445311e-07,100,100
